Codigo;Acuerdo
500;MERCOSUR (no Anexo)
501;MERCOSUR (Anexo 1)
538;Indefinido
600;Tratado de Libre Comercio Chile Canadá
640;Indefinido
650;Trato Arancelario Preferencial USA
700;"Tratado de Libre Comercio Chile México
Trato Arancelario Preferencial"
800;Trato Arancelario Preferencial UE
805;Trato Arancelario Preferencial Asociaciación Europea Libre Comercio
810;Trato Arancelario Preferencial Corea
815;Trato Arancelario Preferencial Transpacífico
816;Trato Arancelario Preferencial China sujeto a cupo
820;Indefinido
825;Indefinido
826;Indefinido
890;Indefinido
