Country_Code;Country
308;AFGHANISTAN
518;ALBANIA
563;ALEMANIA
525;ANDORRA
140;ANGOLA
242;ANGUILA
247;ANTILLAS NEERLANDESAS
240;ANTIGUA Y BARBUDA
302;ARABIA SAUDITA
127;ARGELIA
224;ARGENTINA
540;ARMENIA
243;ARUBA
406;AUSTRALIA
509;AUSTRIA
541;AZERBAIJAN
207;BAHAMAS
313;BAHREIN
321;BANGLADESH
204;BARBADOS
420;BELAU
542;BELARUS
514;BELGICA
236;BELICE
150;BENIN
244;BERMUDAS
221;BOLIVIA
543;BOSNIA Y HERZEGOVINA
113;BOTSWANA
220;BRASIL
344;BRUNEI
527;BULGARIA
161;BURKINA FASO
141;BURUNDI
318;BUTAN
129;CABO VERDE
315;CAMBODIA
149;CAMERUN
226;CANADA
130;CHAD
997;CHILE
305;CHIPRE
336;CHINA
162;CISKEY
202;COLOMBIA
118;COMORAS
144;CONGO
334;COREA DEL NORTE
333;COREA DEL SUR
211;COSTA RICA
107;COSTA MARFIL
547;CROACIA
209;CUBA
155;DJIBOUTI
507;DINAMARCA
231;DOMINICA
218;ECUADOR
124;EGIPTO
213;EL SALVADOR
341;EMIRATOS ARABES UNIDOS
163;ERITREA
548;ESLOVENIA
517;ESPAÑA
549;ESTONIA
225;U.S.A.
139;ETIOPIA
401;FIJI
335;FILIPINAS
512;FINLANDIA
505;FRANCIA
145;GABON
102;GAMBIA
550;GEORGIA
108;GHANA
565;GIBRALTAR
232;GRANADA
520;GRECIA
253;GROENLANDIA
425;GUAM
215;GUATEMALA
566;GUERNSEY
104;GUINEA
103;GUINEA BISSAU
147;GUINEA ECUATORIAL
217;GUYANA
208;HAITI
515;HOLANDA
342;HONG KONG
214;HONDURAS
530;HUNGRIA
317;INDIA
328;INDONESIA
309;IRAN
307;IRAK
506;IRLANDA
516;ISLANDIA
246;ISLAS CAYMAN
427;ISLAS COOK
567;ISLAS DE MAN
327;ISLAS MALDIVAS
424;ISLAS MARIANAS DEL NORTE
164;ISLAS MARSHALL
418;ISLAS SALOMON
403;ISLAS TONGA
245;ISLAS VIRGENES BRITANICAS
249;ISLAS VIRGENES (USA)
306;ISRAEL
504;ITALIA
205;JAMAICA
331;JAPON
568;JERSEY
301;JORDANIA
551;KASAJSTAN
137;KENIA
552;KIRGISTAN
416;KIRIBATI
303;KUWAIT
316;LAOS
114;LESOTHO
553;LETONIA
311;LIBANO
106;LIBERIA
125;LIBIA
534;LIECHTENSTEIN
554;LITUANIA
532;LUXEMBURGO
345;MACAO
555;MACEDONIA
120;MADAGASCAR
329;MALASIA
115;MALAWI
133;MALI
523;MALTA
128;MARRUECOS
250;MARTINICA
119;MAURICIO
134;MAURITANIA
216;MEXICO
417;MICRONESIA
556;MOLDOVA
535;MONACO
337;MONGOLIA
252;MONSERRAT
121;MOZAMBIQUE
326;MYANMAR (EX BIRMANIA)
159;NAMIBIA
402;NAURU
320;NEPAL
212;NICARAGUA
131;NIGER
111;NIGERIA
421;NIUE
513;NORUEGA
423;NUEVA CALEDONIA
405;NUEVA ZELANDIA
304;OMAN
324;PAKISTAN
210;PANAMA
412;PAPUA, NUEVA GUINEA
222;PARAGUAY
219;PERU
422;POLINESIA FRANCESA
528;POLONIA
501;PORTUGAL
251;PUERTO RICO
312;QATAR
510;REINO UNIDO
148;REPUBLICA CENTRO AFRICANA
544;REPUBLICA CHECA (D)
346;REPUBLICA DE YEMEN
143;REPUBLICA DEMOCRATICA DEL CONGO
206;REPUBLICA DOMINICANA
545;REPUBLICA ESLOVACA (D)
564;REPUBLICA FEDERAL DE YUGOSLAVIA
519;RUMANIA
562;RUSIA (B)
142;RWANDA
165;SAHARAVI
241;SAINT KITTS & NEVIS
404;SAMOA OCCIDENTAL
536;SAN MARINO
524;SANTA SEDE
234;SAN VICENTE Y LAS GRANADINAS
146;SAO TOME Y PRINCIPE
233;SANTA LUCIA (ISLAS OCCIDENTALES)
101;SENEGAL
156;SEYCHELLES
105;SIERRA LEONA
332;SINGAPUR
310;SIRIA
138;SOMALIA
314;SRI LANKA
122;SWAZILANDIA
112;SUDAFRICA
123;SUDAN
511;SUECIA
508;SUIZA
235;SURINAM
330;TAIWAN (FORMOSA)
135;TANZANIA
557;TADJIKISTAN
151;TERRITORIO BRITÁNICO EN AFRICA
227;TERRITORIO BRITÁNICO EN AMERICA
407;TERRITORIO BRITÁNICO EN AUSTRALIA
230;TERRITORIO DE DINAMARCA 
152;TERRITORIO ESPAÑOL EN AFRICA
153;TERRITORIO FRANCES EN AFRICA
228;TERRITORIO FRANCES EN AMERICA
408;TERRITORIO FRANCES EN AUSTRALIA
229;TERRITORIO HOLANDES EN AMERICA
409;TERRITORIO NORTEAMERICANO EN AUSTRALIA
343;TERRITORIO PORTUGUES EN ASIA
319;THAILANDIA
426;TIMOR ORIENTAL
109;TOGO
166;TRANSKEI
203;TRINIDAD Y TOBAGO
126;TUNEZ
248;TURCAS Y CAICOS
558;TURKMENISTAN
522;TURQUIA
419;TUVALU
559;UCRANIA
136;UGANDA
223;URUGUAY
560;UZBEKISTAN
415;VANUATU
201;VENEZUELA
158;VIENDA
325;VIETNAM
117;ZAMBIA
116;ZIMBABWE
904; 
905; 
907; 
999; 
