Code;Currency;Country
1;PESO;ARGENTINA
4;BOLIVIANO;BOLIVIA
5;REAL;BRASIL
6;DÓLAR CAN;CANADÁ
13;DÓLAR USA;U.S.A.
23;GUARANI;PARAGUAY
24;NUEVO SOL;PERU
26;PESO UY;URUGUAY
30;MARCO;ALEMANIA
36;DÓLAR AU;AUSTRALIA
37;CHELIN;AUSTRIA
40;FRANCO BELGA;BÉLGICA
48;RENMINBI;CHINA
51;CORONA DANESA;DINAMARCA
53;PESETA;ESPAÑA
57;MARCO FIN;FINLANDIA
58;FRANCO FR;FRANCIA
64;FLORIN;HOLANDA
71;LIRA;ITALIA
72;YEN;JAPON
82;FRANCO SZ;SUIZA
96;CORONA NOR;NORUEGA
97;DÓLAR NZ;NUEVA ZELANDIA
102;LIBRA ESTERLINA;REINO UNIDO
113;CORONA SUECA;SUECIA
127;DÓLAR HK;HONGKONG
128;RAND;SUDÁFRICA
129;PESO COL;COLOMBIA
130;SUCRE;ECUADOR
131;DRACMA;GRECIA
132;PESO MEX;MÉXICO
133;ESCUDO;PORTUGAL
134;BOLIVAR;VENEZUELA
136;DÓLAR SIN;SINGAPUR
137;RUPIA;INDIA
138;DÓLAR TAI;TAIWAN
139;DIRHAM;EMIRATOS ARABES
142;EURO;EURO
200;PESO CL;CHILE
