Code;Port;Region
901;ARICA;Quince
902;IQUIQUE;Primera
903;ANTOFAGASTA;Segunda
904;COQUIMBO;Cuarta
905;VALPARAÍSO;Quinta
906;SAN ANTONIO;Quinta
907;TALCAHUANO;Octava
908;SAN VICENTE;Octava
909;LIRQUEN;Octava
910;PUERTO MONTT;Décima
911;CHACABUCO / PUERTO AYSEN;Once
912;PUNTA ARENAS;Doce
913;PATILLOS;Primera
914;TOCOPILLA;Segunda
915;MEJILLONES;Segunda
916;TALTAL;Segunda
917;CHAÑARAL / BARQUITO;Tercera
918;CALDERA;Tercera
919;CALDERILLA;Tercera
920;HUASCO / GUACOLDA;Tercera
921;QUINTERO;Quinta
922;JUAN FERNANDEZ;Quinta
923;CONSTITUCION;Séptima
924;TOME;Octava
925;PENCO;Octava
926;CORONEL;Octava
927;LOTA;Octava
928;LEBU;Octava
929;ISLA DE PASCUA;Quinta
930;CORRAL;Catorce
931;ANCUD;Décima
932;CASTRO;Décima
933;QUELLÓN;Décima
934;CHAITÉN;Décima
935;TORTEL;Once
936;NATALES;Doce
937;GUARELLO;Doce
938;CUTTER COVE;Doce
939;PERCY;Doce
940;CLARENCIA;Doce
941;GREGORIO;Doce
942;CABO NEGRO;Doce
943;PUERTO WILLIAMS;Doce
944;TERRITORIO ANTÁRTICO CHILENO;Doce
945;SALINAS;Trece
946;GUAYACAN;Trece
947;PUNTA DELGADA;Doce
948;VENTANAS;Quinta
949;MUELLE PUNTA DE CHUNGO;Novena
950;CALETA COLOSO;Segunda
997;OTROS PUERTOS CHILENOS;Ninguna
207; ;Segunda
992; ;Trece
965; ;Quinta
962; ;Segunda
998; ;Segunda
989; ;Segunda
967; ;Décima
