Code;Régimen Importación;Sigla Reg Imp
1;RÉGIMEN GENERAL;GENERAL
33;LEY 18.483;AUTOMOTRIZ
71;ALADI;ALADI
71;A.A.P. LIBERACIÓN COMERCIO INTERREG. SEMILLA;AAP AG/2
72;MERCOSUR;ACEM
73;TRATADO LIBRE COMERCIO CHILECANADÁ;TLCCHC
74;D.L. 480/74 (FF.AA.);D.L. 480/74
75;TRATADO DE LIBRE COMERCIO CHILE MÉXICO;TLCCHM
76;ART. 28º D.H. 341/77 (LEY ARICA);LEY ARICA
77;LEY NAVARINO Y PORVENIR;NAVAR/PORVENIR
79;TRATADO LIBRE COMERCIO CHILE COSTA RICA (3);TLCCH - CR
80;TRATADO LIBRE COMERCIO CHILE EL SALVADOR (3);TLCCH - ES
82;D.L. 600;D.L. 600
84;LEYES 17.238 Y 17.417 VEHÍCULOS LISIADOS;LISIADOS
85;PESCA ARTESANAL;PESCA
86;GATT;GATT
87;LEY 16.752/1968. AERONÁUTICA;LEY 16.752/68
88;TRATADO URUGUAYO;T. URUG.
90;OTROS;OTROS
91;ACUERDO DE ASOCIACIÓN POLÍTICO COMERCIAL ENTRE CHILE Y LA UNIÓN EUROPEA (2);AAPCCH-UE
92;TRATADO LIBRE COMERCIO CHILE ESTADOS UNIDOS (3);TLCCH - USA
93;TRATADO LIBRE COMERCIO CHILE COREA (3);TLCCH - COR
94;"TRATADO LIBRE COMERCIO CHILE ASOCIACION
EUROPEA DE LIBRE COMERCIO (4)";TLCCH - AELC
95;"ACUERDO ESTRATEGICO TRANSPACIFICO DE ASOCIACION ECONOMICA CHILE, BRUNEI,
DARUSSALAM, NUEVA ZELANDA Y SINGAPUR (5)";TRANSP4
96;TRATADO DE LIBRE COMERCIO CHILECHINA (5);TLC-CHCHI
97;ACUERDO DE ALCANCE PARCIAL CHILEINDIA (6);AAPCH-IND
98;ACUERDO DE ASOCIACIÓN ECONÓMICA ESTRATÉGICA CHILEJAPÓN (6);AAEECH-JAP
